score,covariance_type_full-n_components_2,covariance_type_full-n_components_4,covariance_type_full-n_components_6,covariance_type_full-n_components_8,covariance_type_full-n_components_10,covariance_type_full-n_components_12,covariance_type_full-n_components_14,covariance_type_full-n_components_16,covariance_type_full-n_components_18,covariance_type_full-n_components_20,covariance_type_tied-n_components_2,covariance_type_tied-n_components_4,covariance_type_tied-n_components_6,covariance_type_tied-n_components_8,covariance_type_tied-n_components_10,covariance_type_tied-n_components_12,covariance_type_tied-n_components_14,covariance_type_tied-n_components_16,covariance_type_tied-n_components_18,covariance_type_tied-n_components_20,covariance_type_diag-n_components_2,covariance_type_diag-n_components_4,covariance_type_diag-n_components_6,covariance_type_diag-n_components_8,covariance_type_diag-n_components_10,covariance_type_diag-n_components_12,covariance_type_diag-n_components_14,covariance_type_diag-n_components_16,covariance_type_diag-n_components_18,covariance_type_diag-n_components_20,covariance_type_spherical-n_components_2,covariance_type_spherical-n_components_4,covariance_type_spherical-n_components_6,covariance_type_spherical-n_components_8,covariance_type_spherical-n_components_10,covariance_type_spherical-n_components_12,covariance_type_spherical-n_components_14,covariance_type_spherical-n_components_16,covariance_type_spherical-n_components_18,covariance_type_spherical-n_components_20
aic,-4603111.494006956,-5015221.557699148,-6256504.137947979,-6989004.442405034,-7493628.294963033,-7602530.841413531,-8080412.43439205,-9104233.292636618,-9479969.728740202,-8901457.122494988,-943542.5951010222,-1002519.8366330654,-1004950.8374553754,-1004656.7518266529,-1047729.0438424379,-1005158.4597420875,-1010993.2196807724,-1012251.6439571996,-1045615.1134734324,-1045834.6683224773,-2328437.497377241,-2523625.768908053,-4348265.981417915,-4497611.281255882,-4710213.018524487,-5575006.532365555,-5644635.60427291,-6908687.300463787,-6645871.68630372,-6953373.332529635,8534792.089681724,7748765.5829615025,7170307.241471322,6906484.916451753,6670163.693352676,6445489.777746346,6246168.38235587,6091389.1656106245,5950264.026778364,5834772.173045673
bic,-4585937.671902153,-4980865.23545917,-6204965.315572828,-6920283.1198947085,-7407724.472317534,-7499444.518632858,-7960143.6114762025,-8966781.969585596,-9325335.905554006,-8729640.799173618,-934578.1897274692,-992791.764586838,-994459.0987364736,-993401.3464350767,-1035709.9717781873,-992375.7210051626,-997446.814271173,-997941.5718749259,-1030541.3747184841,-1029997.2628948546,-2326936.198123006,-2520614.492369212,-4343744.727594468,-4491580.050147829,-4702671.810131826,-5565955.346688289,-5634074.441311038,-6896616.160217308,-6632290.568772635,-6938282.237713944,8535564.43438477,7750318.9503979655,7172641.631641202,6909600.32935505,6674060.12898939,6450167.236116476,6251626.863459418,6097628.66944759,5957284.553348745,5842573.722349472
silhouette_score,0.047123702653062136,0.06903466221165269,0.06942351838122696,0.016236004515300908,0.03081063006555964,0.05370918855106617,0.0819507686751254,0.047119613155760146,0.0466330096934348,0.056297790961703544,0.02993822552364095,0.03763512408697284,0.03440628560838872,0.03296317451616239,0.029697387403294355,0.03768511966614372,0.030351739567100022,0.03079340834368029,0.028421121396130553,0.030281846330657895,0.0815796565186734,0.06899586185433655,0.06806184490049753,0.08558043584741504,0.023461414962146317,0.027486089207521623,0.012884869263866084,0.05414784573881099,0.039881311724735705,0.013105255989646432,0.15060706990026773,0.13544334520509368,0.09072428033558216,0.12219378192715367,0.15838221892157386,0.12855381664574622,0.1267720714951048,0.09964876591859319,0.09626696173558667,0.08471479196260458
calinski_harabasz_score,78.01459460532828,47.27282102143112,46.25975710862572,1.254625446920557,44.86871726778787,30.265891319889963,28.390487024156077,4.641800033319292,32.04830605943182,1.0259810687396558,80.74122871060135,85.64926597443367,84.56351986755038,84.48717362912137,82.70878615209314,85.14620594993214,84.57378849165384,84.95909188972051,84.64782489770137,84.81122796386086,77.83912982953179,85.05343996003309,62.358004797860424,1.8538880884545414,28.029472128646567,20.60043927003446,42.34937842835136,57.96347375956673,81.1585707936209,38.47744992310289,64.37224766534345,0.7141314868108669,5.892945986602552,2.976515353262012,40.787736102730854,8.960600043485831,72.17834801620785,21.616831821975897,73.30817666251778,113.9608489076103
davies_bouldin_score,3.575507204651606,4.888231697893214,4.9477122898576855,29.17736272043065,4.79754356343198,6.059947442388508,6.4207260479131625,15.571800333758834,5.8496415965743624,33.68724077170448,3.405867190861276,3.329038449291033,3.341923830798132,3.335716596891838,3.358834036818565,3.3438454904990893,3.3191915512986423,3.314780928224261,3.302936381481906,3.3067611825876178,3.7219370797959477,3.5083731579891855,4.1877937303884964,25.729259340384605,6.033995490664063,7.188524011591277,4.84850469592985,4.255019749988519,3.458190925527215,5.086569231551925,4.409840489716139,43.075500264898515,14.357945977907528,20.910658463545953,5.805152766087739,12.124259959458321,4.130128673019902,7.535523465889808,3.96313701310206,3.0493314339218944
